dest,2018_week_dest_mean_arr_delay,2018_week_dest_std_arr_delay,2018_week_dest_skew_arr_delay,2018_month_dest_mean_arr_delay,2018_month_dest_std_arr_delay,2018_month_dest_skew_arr_delay,2019_week_dest_mean_arr_delay,2019_week_dest_std_arr_delay,2019_week_dest_skew_arr_delay,2019_month_dest_mean_arr_delay,2019_month_dest_std_arr_delay,2019_month_dest_skew_arr_delay
BRW,-15.153846153846153,7.70114876545651,0.5723859969111873,-10.836065573770492,19.85042428418836,2.410842321340567,-7.923076923076923,12.372425917212965,0.8809396404138363,-12.620689655172415,14.549163581441382,1.4163092123092507
BTM,-16.076923076923077,18.286887553934825,-0.22928019232991645,-19.275862068965516,18.655503965081394,0.07238502857747009,-20.76923076923077,9.461799037479132,1.161844501095908,-14.368421052631579,23.665550293130558,3.4680506624527894
BTR,0.549618320610687,25.923322953088466,1.9339359348684781,-2.221223021582734,26.41975065074364,2.737064456614674,6.818181818181818,33.57043823643858,2.129911048418463,1.0099502487562189,27.916639684245283,2.6843946848815436
BTV,14.411042944785276,35.20359305128336,1.5552649190536105,2.052369077306733,30.441114037492753,2.0676027356189866,-0.10328638497652583,28.987613465612302,2.477272672990688,6.295343137254902,33.87428621580943,2.11672943212497
BUF,16.880487804878047,35.752037365730416,1.7800750690976817,2.0327468230694037,29.69883721648332,2.1578168890317544,-2.151821862348178,25.644614923304115,2.69893433888603,2.9606259464916707,31.495638056367266,2.095906897722431
BUR,5.479289940828402,25.91413811870909,2.479325959672492,0.8178555406011665,23.95959016987532,2.4959864315133533,6.7234432234432235,28.009802999767093,2.566512302426311,-0.26052188552188554,23.681622783592374,2.9166883731408664
BWI,4.6521060842433695,24.430540956151095,2.1982467299466717,-2.2834340991535673,23.103948434006067,2.477697025430234,-1.971234309623431,22.63263618688015,2.479552866011462,-2.737313034188034,23.02295964599814,2.622686066072361
BZN,-0.7034883720930233,22.844999952895982,1.806425356763635,-3.6319327731092437,23.09096319504524,2.211745507342994,-4.149732620320855,26.187681529807442,2.1553071689323344,-0.6551724137931034,28.560808317846888,1.9017241430265885
CAE,7.327272727272727,31.385518572316357,2.095492131825891,3.824390243902439,32.366164974535955,2.3482736052306263,-0.5728643216080402,20.677745499109488,1.9546673023633896,1.6193181818181819,27.60108057914428,2.4275052638243935
CAK,15.956834532374101,38.320326180799356,1.6768005119773288,6.452773613193403,33.671778720992144,1.992654093456418,-1.3404255319148937,21.170339692002393,1.1820894812762275,6.533444816053512,32.80628976911092,2.2632662164589608
CDC,-0.5,12.703892666773003,0.15059013368495025,2.9411764705882355,13.562318038898633,1.1188021594612292,14.916666666666666,36.15989323529425,1.3113926300404972,3.4444444444444446,24.71090712251596,2.3835626171864694
CDV,-12.636363636363637,13.41844050009335,0.02859411602834284,-11.637931034482758,17.273545614621902,1.0760976660101134,3.0,38.144462245521304,2.8140082543101883,0.07272727272727272,25.845591747812872,2.492156196339155
