unique_carrier_name,frequency,relative_frequency
Glock Aviation GmbH,57,2.425019049162794e-05
Luxaviation S A,56,2.382474855317833e-05
Inselair Aruba NV,53,2.2548422737829488e-05
"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",53,2.2548422737829488e-05
Propair,48,2.0421213045581424e-05
Yangtze River Express Airlines Company,48,2.0421213045581424e-05
Arik Air International,46,1.9570329168682197e-05
Laudamotion GmbH,45,1.9144887230232586e-05
Hong Kong Express Airways Limited,43,1.829400335333336e-05
Transaero Airlines,41,1.7443119476434133e-05
Tyrolean Jet Service,39,1.6592235599534907e-05
Tantalus Air Ltd. d/b/a Harbour Air d/b/a Harbour Air Seaplanes,37,1.574135172263568e-05
Primera Air Scandinavia,36,1.531590978418607e-05
Scoot Tigerair Pte Ltd d/b/a Scoot,36,1.531590978418607e-05
OPENSKIES SAS,32,1.3614142030387616e-05
Skyfirst Limited,31,1.3188700091938003e-05
Kenya Airways PLC,30,1.276325815348839e-05
G5 Executive Ag,30,1.276325815348839e-05
Jet Airways (India) Limited,30,1.276325815348839e-05
Mjet GmbH,28,1.1912374276589165e-05
"Polaris Aviation Solutions, LLC",27,1.1486932338139552e-05
Flying Group Lux S.A.,27,1.1486932338139552e-05
Eastar Jet Co Ltd.,26,1.1061490399689938e-05
Bertelsmann Aviation GmbH,25,1.0636048461240325e-05
Air Company Yakutia,24,1.0210606522790712e-05
Thai Airways International Ltd.,22,9.359722645891485e-06
"Global Jet Austria, GmbH",22,9.359722645891485e-06
"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines",20,8.50883876899226e-06
VistaJet Luftfahrtunternehmen GmbH,19,8.083396830542648e-06
Elitavia Malta Limited,14,5.956187138294582e-06
Skymark Airlines Inc.,13,5.530745199844969e-06
Triair Bermuda Flt Operations,10,4.25441938449613e-06
Pacific Wings Airlines,10,4.25441938449613e-06
"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",8,3.403535507596904e-06
Challenge Air Luftverkehrs GmbH,7,2.978093569147291e-06
European Air Transport Leipzig GmbH,7,2.978093569147291e-06
TAG Aviation (Malta) Ltd.,6,2.552651630697678e-06
"Aviateca, S.A.",6,2.552651630697678e-06
Abelag Aviation AG,5,2.127209692248065e-06
Volkswagen AirSevice GmbH dba Volkswagon,5,2.127209692248065e-06
Evelop Airlines SL,5,2.127209692248065e-06
Challenge Airlines (BE) S.A.,4,1.701767753798452e-06
Prince Aviation,4,1.701767753798452e-06
Hyperion Aviation Ltd. dba Hyperion,4,1.701767753798452e-06
"Inter Island Airways, d/b/a Inter Island Air",4,1.701767753798452e-06
Laudamotion Executive,2,8.50883876899226e-07
