tail_num,frequency,relative_frequency
N637AE,3867,0.00024354121394998027
N958LR,3866,0.0002434782345825249
N258SY,3862,0.00024322631711270334
N856AE,3862,0.00024322631711270334
N642AE,3862,0.00024322631711270334
N8932C,3860,0.00024310035837779256
N460SW,3859,0.00024303737901033718
N251SY,3855,0.00024278546154051563
N705SW,3855,0.00024278546154051563
N7822A,3855,0.00024278546154051563
N466WN,3853,0.00024265950280560487
N934SW,3852,0.00024259652343814947
N207PS,3852,0.00024259652343814947
N7849A,3851,0.00024253354407069409
N664MS,3850,0.0002424705647032387
N241SY,3849,0.00024240758533578333
N807AE,3848,0.00024234460596832792
N918SW,3848,0.00024234460596832792
N415WN,3847,0.00024228162660087254
N727SW,3846,0.00024221864723341716
N498CA,3846,0.00024221864723341716
N922EV,3844,0.00024209268849850637
N419WN,3843,0.000242029709131051
N742SW,3843,0.000242029709131051
N256SY,3842,0.00024196672976359562
N975SW,3842,0.00024196672976359562
N647AE,3841,0.0002419037503961402
N518AE,3840,0.00024184077102868483
N7707C,3840,0.00024184077102868483
N373JB,3840,0.00024184077102868483
N709SW,3840,0.00024184077102868483
N953SW,3839,0.00024177779166122945
N627AE,3837,0.00024165183292631866
N751SW,3836,0.00024158885355886328
N711HK,3836,0.00024158885355886328
N726SK,3836,0.00024158885355886328
N946SW,3835,0.0002415258741914079
N952LR,3832,0.00024133693608904174
N550WN,3831,0.00024127395672158636
N967DL,3831,0.00024127395672158636
N346JB,3831,0.00024127395672158636
N673AE,3830,0.00024121097735413098
N426QX,3830,0.00024121097735413098
N708SK,3830,0.00024121097735413098
N954SW,3829,0.00024114799798667557
N625AE,3829,0.00024114799798667557
N102HQ,3829,0.00024114799798667557
N707SK,3828,0.0002410850186192202
N724SW,3827,0.0002410220392517648
N464SW,3826,0.00024095905988430943
N603KC,3825,0.00024089608051685403
N951SW,3824,0.00024083310114939865
N706PS,3823,0.00024077012178194327
N703SK,3823,0.00024077012178194327
N958SW,3822,0.00024070714241448786
N609AS,3822,0.00024070714241448786
N954LR,3821,0.00024064416304703248
N912DE,3821,0.00024064416304703248
N601XJ,3821,0.00024064416304703248
N980SW,3820,0.0002405811836795771
N260JS,3820,0.0002405811836795771
N328JB,3820,0.0002405811836795771
N752SK,3819,0.00024051820431212172
N913DL,3819,0.00024051820431212172
N8942A,3818,0.00024045522494466632
N278WN,3818,0.00024045522494466632
N886AS,3817,0.00024039224557721094
N953LR,3817,0.00024039224557721094
N358JB,3817,0.00024039224557721094
N917EV,3817,0.00024039224557721094
N374JB,3817,0.00024039224557721094
N632AE,3817,0.00024039224557721094
N919EV,3816,0.00024032926620975556
N827AE,3816,0.00024032926620975556
N707SA,3815,0.00024026628684230018
N7840A,3815,0.00024026628684230018
N804HC,3815,0.00024026628684230018
N461SW,3813,0.0002401403281073894
N900DE,3813,0.0002401403281073894
N706SK,3813,0.0002401403281073894
N474WN,3812,0.000240077348739934
N240SY,3812,0.000240077348739934
N254SY,3811,0.00024001436937247863
N655AE,3811,0.00024001436937247863
N7867A,3811,0.00024001436937247863
N635AE,3811,0.00024001436937247863
N964DL,3809,0.00023988841063756784
N7730A,3809,0.00023988841063756784
N912DL,3808,0.00023982543127011247
N500AE,3808,0.00023982543127011247
N926EV,3807,0.00023976245190265709
N7851A,3807,0.00023976245190265709
N368JB,3804,0.00023957351380029092
N819AE,3802,0.00023944755506538013
N7830A,3801,0.00023938457569792475
N968DL,3800,0.00023932159633046937
N247SY,3799,0.000239258616963014
N935SW,3797,0.0002391326582281032
N852AE,3796,0.00023906967886064783
N630AE,3796,0.00023906967886064783
N986SW,3796,0.00023906967886064783
N957LR,3795,0.00023900669949319242
N962SW,3794,0.00023894372012573704
N7817J,3793,0.00023888074075828166
N622AE,3792,0.00023881776139082628
N857AE,3792,0.00023881776139082628
N281JB,3791,0.00023875478202337088
N912EV,3790,0.0002386918026559155
N242SY,3790,0.0002386918026559155
N758SK,3790,0.0002386918026559155
N973SW,3790,0.0002386918026559155
N903DE,3789,0.00023862882328846012
N910EV,3789,0.00023862882328846012
N725SW,3788,0.00023856584392100474
N122HQ,3787,0.00023850286455354933
N441SW,3787,0.00023850286455354933
N455CA,3787,0.00023850286455354933
N7711N,3787,0.00023850286455354933
N640AE,3786,0.00023843988518609395
N976SW,3786,0.00023843988518609395
N433SW,3785,0.00023837690581863857
N239JB,3785,0.00023837690581863857
N728SW,3784,0.0002383139264511832
N932SW,3784,0.0002383139264511832
N7837A,3783,0.00023825094708372779
N919SW,3782,0.0002381879677162724
N855AE,3782,0.0002381879677162724
N7816B,3780,0.00023806200898136165
N660BC,3780,0.00023806200898136165
N878AS,3780,0.00023806200898136165
N955LR,3780,0.00023806200898136165
N7865A,3776,0.0002378100915115401
N644AS,3776,0.0002378100915115401
N907SW,3776,0.0002378100915115401
N909DE,3775,0.0002377471121440847
N455SW,3772,0.00023755817404171853
N502AE,3772,0.00023755817404171853
