crs_dep_time,frequency,relative_frequency
1103,7141,0.0004483444812536317
1027,7139,0.00044821891215091395
1437,7139,0.00044821891215091395
1204,7135,0.0004479677739454785
1627,7123,0.0004472143593291722
1341,7122,0.0004471515747778133
1839,7121,0.0004470887902264545
1156,7119,0.00044696322112373676
1424,7118,0.0004469004365723779
1449,7117,0.000446837652021019
1553,7114,0.00044664929836694245
1537,7113,0.00044658651381558357
1347,7108,0.00044627259105878926
2355,7108,0.00044627259105878926
1238,7102,0.00044589588375063607
1738,7097,0.00044558196099384176
1628,7095,0.00044545639189112404
1053,7093,0.00044533082278840633
1223,7092,0.00044526803823704745
1356,7084,0.0004447657618261766
1719,7074,0.000444137916312588
1556,7073,0.0004440751317612291
1041,7058,0.00044313336349084616
1253,7043,0.00044219159522046323
1258,7037,0.0004418148879123101
1011,7037,0.0004418148879123101
1054,7011,0.00044018248957697966
1741,7008,0.00043999413592290306
1149,6998,0.00043936629040931444
1007,6993,0.00043905236765252013
1328,6993,0.00043905236765252013
952,6989,0.0004388012294470847
947,6986,0.0004386128757930081
942,6981,0.0004382989530362138
1136,6973,0.00043779667662534295
1706,6967,0.00043741996931718975
1254,6966,0.00043735718476583087
1554,6952,0.0004364782010468068
1544,6939,0.0004356620018791416
1538,6939,0.0004356620018791416
1342,6925,0.00043478301816011756
1141,6924,0.0004347202336087587
1112,6919,0.00043440631085196437
1526,6905,0.0004335273271329403
1807,6896,0.0004329622661707106
1242,6889,0.0004325227743111985
1636,6889,0.0004325227743111985
1158,6886,0.00043233442065712197
1742,6877,0.0004317693596948922
1428,6871,0.00043139265238673904
1111,6867,0.00043114151418130356
1109,6864,0.000430953160527227
1602,6864,0.000430953160527227
1501,6852,0.00043019974591092063
1743,6844,0.0004296974695000498
1331,6839,0.00042938354674325547
1146,6834,0.00042906962398646116
957,6831,0.00042888127033238456
1646,6806,0.000427311656548413
1523,6803,0.0004271233028943364
1233,6789,0.00042624431917531237
1214,6786,0.00042605596552123577
1737,6783,0.0004258676118671592
1218,6781,0.00042574204276444146
1547,6781,0.00042574204276444146
1152,6779,0.00042561647366172375
702,6778,0.00042555368911036486
1057,6775,0.0004253653354562883
2019,6767,0.0004248630590454174
1321,6766,0.00042480027449405853
1849,6764,0.0004246747053913408
1237,6760,0.0004244235671859054
1732,6760,0.0004244235671859054
1608,6757,0.0004242352135318288
1211,6756,0.0004241724289804699
1506,6755,0.0004241096444291111
1353,6753,0.0004239840753263933
1131,6751,0.0004238585062236756
1528,6749,0.0004237329371209579
1546,6748,0.000423670152569599
1551,6742,0.00042329344526144587
1008,6728,0.0004224144615424218
1138,6727,0.00042235167699106294
1722,6723,0.0004221005387856275
1531,6721,0.00042197496968290974
1316,6720,0.0004219121851315509
1047,6718,0.0004217866160288332
1042,6714,0.0004215354778233977
1153,6710,0.0004212843396179623
1311,6708,0.0004211587705152446
944,6702,0.0004207820632070914
1236,6697,0.0004204681404502971
1701,6685,0.00041971472583399074
1118,6684,0.00041965194128263186
1632,6684,0.00041965194128263186
1024,6683,0.00041958915673127303
1813,6675,0.0004190868803204021
1434,6668,0.0004186473884608901
1019,6667,0.0004185846039095312
1239,6664,0.0004183962502554546
602,6657,0.0004179567583959426
1028,6642,0.00041701499012555967
1217,6633,0.00041644992916332993
629,6632,0.00041638714461197105
1609,6629,0.0004161987909578945
801,6628,0.0004161360064065356
1414,6628,0.0004161360064065356
1836,6628,0.0004161360064065356
1707,6624,0.0004158848682011002
1358,6624,0.0004158848682011002
1408,6622,0.00041575929909838243
829,6621,0.0004156965145470236
1122,6613,0.0004151942381361527
1121,6609,0.00041494309993071727
1522,6607,0.0004148175308279995
1949,6589,0.00041368740890354003
1232,6586,0.00041349905524946343
1811,6575,0.00041280842518451593
1717,6563,0.0004120550105682096
1012,6557,0.00041167830326005646
1956,6556,0.00041161551870869757
901,6555,0.0004115527341573387
1711,6555,0.0004115527341573387
1301,6549,0.00041117602684918555
1704,6546,0.00041098767319510895
1314,6546,0.00041098767319510895
1227,6544,0.00041086210409239124
1412,6542,0.0004107365349896735
1348,6541,0.00041067375043831464
2009,6528,0.0004098575512706494
1058,6525,0.0004096691976165729
1818,6513,0.0004089157830002665
1518,6508,0.0004086018602434722
1514,6508,0.0004086018602434722
1416,6504,0.00040835072203803676
1304,6498,0.0004079740147298836
1539,6496,0.00040784844562716585
1401,6491,0.00040753452287037154
1417,6487,0.0004072833846649361
2209,6479,0.0004067811082540652
1302,6479,0.0004067811082540652
1104,6477,0.0004066555391513475
1527,6473,0.00040640440094591207
1633,6470,0.0004062160472918355
941,6462,0.00040571377088096457
1306,6457,0.00040539984812417026
1107,6449,0.00040489757171329935
1004,6449,0.00040489757171329935
1256,6449,0.00040489757171329935
1324,6447,0.00040477200261058164
1349,6447,0.00040477200261058164
1207,6431,0.0004037674497888399
1657,6408,0.00040232340510758604
1033,6406,0.00040219783600486833
1856,6405,0.00040213505145350945
704,6396,0.0004015699904912797
1614,6394,0.000401444421388562
1157,6390,0.0004011932831831265
1536,6389,0.0004011304986317677
1009,6385,0.0004008793604263322
1606,6382,0.0004006910067722556
1034,6374,0.00040018873036138476
1951,6373,0.0004001259458100259
1127,6359,0.00039924696209100183
1448,6358,0.00039918417753964295
1702,6342,0.0003981796247179012
1257,6340,0.0003980540556151834
2021,6338,0.0003979284865124657
2229,6334,0.0003976773483070303
1832,6332,0.00039755177920431257
1656,6330,0.0003974262101015948
1147,6328,0.0003973006409988771
1456,6326,0.0003971750718961594
1542,6309,0.00039610773452305873
603,6305,0.0003958565963176233
1844,6301,0.0003956054581121878
1611,6291,0.0003949776125985992
1442,6291,0.0003949776125985992
1048,6289,0.0003948520434958815
958,6289,0.0003948520434958815
1857,6288,0.0003947892589445226
1712,6281,0.0003943497670850106
1817,6280,0.00039428698253365175
1843,6274,0.00039391027522549856
1044,6265,0.0003933452142632688
1303,6261,0.00039309407605783335
1357,6261,0.00039309407605783335
936,6257,0.0003928429378523979
1419,6257,0.0003928429378523979
1623,6251,0.0003924662305442447
1049,6249,0.000392340661441527
1309,6245,0.0003920895232360916
1441,6236,0.0003915244622738618
1647,6233,0.00039133610861978525
1708,6227,0.00039095940131163206
1046,6222,0.00039064547855483775
1409,6217,0.00039033155579804344
1558,6208,0.0003897664948358137
1243,6205,0.0003895781411817371
1423,6197,0.0003890758647708662
1308,6183,0.00038819688105184215
1854,6170,0.00038738068188417694
1533,6167,0.00038719232823010034
1851,6164,0.0003870039745760238
604,6164,0.0003870039745760238
2014,6160,0.0003867528363705883
1638,6160,0.0003867528363705883
