origin_city_name,frequency,relative_frequency
"Muskegon, MI",1442,9.053532305947864e-05
"Cordova, AK",1442,9.053532305947864e-05
"Wrangell, AK",1442,9.053532305947864e-05
"Yakutat, AK",1442,9.053532305947864e-05
"Nome, AK",1441,9.047253850811977e-05
"Kotzebue, AK",1440,9.040975395676091e-05
"Hattiesburg/Laurel, MS",1432,8.990747754589002e-05
"Watertown, NY",1429,8.971912389181343e-05
"Hobbs, NM",1423,8.934241658366025e-05
"Rockford, IL",1422,8.92796320323014e-05
"Rock Springs, WY",1413,8.871457107007163e-05
"Cedar City, UT",1383,8.683103452930579e-05
"Waterloo, IA",1375,8.63287581184349e-05
"Staunton, VA",1370,8.601483536164059e-05
"Butte, MT",1354,8.50102825398988e-05
"Sault Ste. Marie, MI",1349,8.469635978310449e-05
"Iron Mountain/Kingsfd, MI",1327,8.331509965320954e-05
"Elko, NV",1321,8.293839234505636e-05
"International Falls, MN",1294,8.12432094583671e-05
"Dickinson, ND",1292,8.111764035564937e-05
"Provo, UT",1278,8.023865663662531e-05
"Kodiak, AK",1273,7.9924733879831e-05
"Brainerd, MN",1269,7.967359567439555e-05
"Laramie, WY",1250,7.848068919857718e-05
"Hibbing, MN",1247,7.82923355445006e-05
"Devils Lake, ND",1247,7.82923355445006e-05
"Escanaba, MI",1244,7.810398189042401e-05
"Lewisburg, WV",1241,7.791562823634743e-05
"Alpena, MI",1240,7.785284368498856e-05
"Scottsbluff, NE",1198,7.521589252791636e-05
"North Platte, NE",1194,7.496475432248093e-05
"Liberal, KS",1186,7.446247791161002e-05
"Mammoth Lakes, CA",1126,7.069540483007831e-05
"Martha's Vineyard, MA",1044,6.554707161865166e-05
"Moab, UT",1043,6.54842870672928e-05
"Prescott, AZ",973,6.108936847217248e-05
"Vernal, UT",946,5.939418558548321e-05
"Presque Isle/Houlton, ME",942,5.914304738004776e-05
"Kearney, NE",884,5.550154340123378e-05
"Del Rio, TX",837,5.2550669487367274e-05
"North Bend/Coos Bay, OR",752,4.721398262186403e-05
"Portsmouth, NH",727,4.5644368837892485e-05
"Ogdensburg, NY",664,4.16889421022842e-05
"Pierre, SD",657,4.124945024277217e-05
"Cheyenne, WY",573,3.597554792862778e-05
"Watertown, SD",523,3.283632036068469e-05
"West Yellowstone, MT",503,3.158062933350746e-05
"Santa Maria, CA",363,2.279079214326681e-05
"Hagerstown, MD",321,2.015384098619462e-05
"Branson, MO",302,1.8960934510376246e-05
"St. Cloud, MN",281,1.764245893184015e-05
"Pago Pago, TT",242,1.5193861428844542e-05
"Ogden, UT",230,1.44404468125382e-05
"Owensboro, KY",210,1.3184755785360966e-05
"Adak Island, AK",207,1.2996402131284381e-05
"Hyannis, MA",172,1.0798942833724219e-05
"Dillingham, AK",166,1.042223552557105e-05
"Gustavus, AK",166,1.042223552557105e-05
"Rota, TT",151,9.480467255188123e-06
"King Salmon, AK",124,7.785284368498856e-06
"Bullhead City, AZ",45,2.8253048111487784e-06
"Youngstown/Warren, OH",2,1.2556910271772347e-07
