mkt_carrier_fl_num,frequency,relative_frequency
1408,2843,0.00017849647951324394
5054,2843,0.00017849647951324394
3777,2843,0.00017849647951324394
5726,2842,0.00017843369496188508
2226,2841,0.0001783709104105262
1921,2841,0.0001783709104105262
1399,2841,0.0001783709104105262
3443,2841,0.0001783709104105262
3495,2840,0.00017830812585916734
6017,2838,0.00017818255675644963
3464,2838,0.00017818255675644963
3518,2838,0.00017818255675644963
2375,2838,0.00017818255675644963
3499,2837,0.00017811977220509077
2384,2837,0.00017811977220509077
137,2837,0.00017811977220509077
1759,2836,0.0001780569876537319
5780,2835,0.00017799420310237303
1311,2835,0.00017799420310237303
14,2835,0.00017799420310237303
1228,2834,0.00017793141855101417
3584,2833,0.00017786863399965532
2415,2832,0.00017780584944829646
237,2832,0.00017780584944829646
3476,2831,0.00017774306489693758
1831,2830,0.00017768028034557872
1175,2829,0.00017761749579421986
1044,2828,0.000177554711242861
3585,2827,0.00017749192669150215
1987,2827,0.00017749192669150215
3810,2826,0.00017742914214014327
3535,2826,0.00017742914214014327
842,2826,0.00017742914214014327
1087,2826,0.00017742914214014327
5137,2825,0.0001773663575887844
2151,2825,0.0001773663575887844
3681,2825,0.0001773663575887844
3581,2824,0.00017730357303742555
1342,2823,0.0001772407884860667
1603,2822,0.00017717800393470784
1869,2822,0.00017717800393470784
2188,2821,0.00017711521938334899
1544,2821,0.00017711521938334899
5068,2821,0.00017711521938334899
294,2820,0.0001770524348319901
1437,2820,0.0001770524348319901
3319,2819,0.00017698965028063125
3469,2819,0.00017698965028063125
2231,2819,0.00017698965028063125
1974,2819,0.00017698965028063125
1154,2818,0.0001769268657292724
3338,2818,0.0001769268657292724
1259,2818,0.0001769268657292724
1684,2817,0.00017686408117791353
1438,2817,0.00017686408117791353
3440,2817,0.00017686408117791353
882,2817,0.00017686408117791353
2430,2817,0.00017686408117791353
875,2816,0.00017680129662655468
5002,2816,0.00017680129662655468
2459,2814,0.00017667572752383694
631,2813,0.00017661294297247808
2210,2812,0.00017655015842111922
3796,2812,0.00017655015842111922
5231,2811,0.00017648737386976037
1395,2811,0.00017648737386976037
1377,2810,0.00017642458931840148
1707,2809,0.00017636180476704263
2455,2808,0.00017629902021568377
29,2808,0.00017629902021568377
2618,2805,0.00017611066656160717
1648,2803,0.00017598509745888946
1349,2803,0.00017598509745888946
5448,2802,0.0001759223129075306
2013,2802,0.0001759223129075306
1366,2802,0.0001759223129075306
3403,2801,0.00017585952835617175
5038,2801,0.00017585952835617175
1664,2800,0.00017579674380481286
5452,2800,0.00017579674380481286
3510,2800,0.00017579674380481286
5104,2799,0.000175733959253454
1292,2799,0.000175733959253454
1283,2799,0.000175733959253454
1182,2798,0.00017567117470209515
1287,2797,0.0001756083901507363
3329,2797,0.0001756083901507363
1330,2797,0.0001756083901507363
2514,2796,0.00017554560559937744
1054,2795,0.00017548282104801858
387,2794,0.0001754200364966597
915,2793,0.00017535725194530084
3354,2793,0.00017535725194530084
1679,2793,0.00017535725194530084
5832,2792,0.00017529446739394198
3435,2792,0.00017529446739394198
3432,2791,0.00017523168284258313
5086,2789,0.00017510611373986539
3347,2788,0.00017504332918850653
1065,2787,0.00017498054463714767
2410,2787,0.00017498054463714767
959,2787,0.00017498054463714767
3501,2786,0.00017491776008578882
2367,2786,0.00017491776008578882
3558,2786,0.00017491776008578882
361,2785,0.00017485497553442996
1737,2785,0.00017485497553442996
3542,2784,0.00017479219098307108
3466,2784,0.00017479219098307108
4641,2782,0.00017466662188035336
1770,2782,0.00017466662188035336
2416,2781,0.0001746038373289945
722,2781,0.0001746038373289945
2265,2780,0.00017454105277763565
767,2780,0.00017454105277763565
5416,2779,0.00017447826822627677
1519,2779,0.00017447826822627677
3545,2779,0.00017447826822627677
2166,2778,0.0001744154836749179
1977,2778,0.0001744154836749179
5814,2777,0.00017435269912355905
1334,2777,0.00017435269912355905
5155,2776,0.0001742899145722002
3408,2776,0.0001742899145722002
3642,2775,0.00017422713002084134
5131,2774,0.00017416434546948248
3522,2774,0.00017416434546948248
3640,2772,0.00017403877636676474
5309,2772,0.00017403877636676474
129,2772,0.00017403877636676474
3795,2771,0.0001739759918154059
1058,2770,0.00017391320726404703
3480,2769,0.00017385042271268817
1012,2769,0.00017385042271268817
3360,2769,0.00017385042271268817
5380,2768,0.0001737876381613293
293,2768,0.0001737876381613293
3936,2768,0.0001737876381613293
2156,2768,0.0001737876381613293
1632,2767,0.00017372485360997043
328,2767,0.00017372485360997043
898,2766,0.00017366206905861158
3769,2765,0.00017359928450725272
2241,2765,0.00017359928450725272
2553,2765,0.00017359928450725272
2282,2765,0.00017359928450725272
3624,2764,0.00017353649995589386
5739,2764,0.00017353649995589386
4498,2764,0.00017353649995589386
3426,2763,0.00017347371540453498
5700,2763,0.00017347371540453498
936,2762,0.00017341093085317612
1756,2761,0.00017334814630181727
318,2760,0.0001732853617504584
3659,2760,0.0001732853617504584
629,2759,0.00017322257719909955
975,2759,0.00017322257719909955
1538,2758,0.00017315979264774067
5441,2758,0.00017315979264774067
3421,2757,0.00017309700809638181
3643,2757,0.00017309700809638181
5698,2756,0.00017303422354502296
4529,2755,0.0001729714389936641
