origin_airport_id,frequency,relative_frequency
13156,1748,0.0007436725084099236
14856,1726,0.0007343127857640321
16232,1724,0.0007334619018871328
12651,1723,0.0007330364599486832
13367,1721,0.0007321855760717839
15887,1721,0.0007321855760717839
14574,1716,0.0007300583663795359
12010,1716,0.0007300583663795359
12819,1708,0.000726654830871939
11868,1707,0.0007262293889334894
12986,1706,0.0007258039469950398
14108,1705,0.0007253785050565901
13770,1701,0.0007236767373027917
15785,1692,0.0007198477598567451
10408,1677,0.000713466130780001
10431,1675,0.0007126152469031018
10241,1668,0.0007096371533339545
13942,1667,0.0007092117113955049
10405,1659,0.000705808175887908
13158,1645,0.0006998519887496134
15257,1627,0.0006921940338575203
11941,1615,0.000687088730596125
14066,1614,0.0006866632886576754
15249,1608,0.0006841106370269778
14681,1604,0.0006824088692731793
12719,1596,0.0006790053337655823
14718,1592,0.0006773035660117839
13264,1587,0.0006751763563195358
13256,1578,0.0006713473788734893
12982,1573,0.0006692201691812413
15554,1570,0.0006679438433658924
10640,1550,0.0006594350045969001
12268,1545,0.0006573077949046521
12087,1538,0.0006543297013355048
13486,1535,0.000653053375520156
10139,1534,0.0006526279335817063
15624,1529,0.0006505007238894583
10627,1503,0.0006394392334897683
14804,1493,0.0006351848141052722
14457,1489,0.0006334830463514738
14805,1487,0.0006326321624745745
14252,1450,0.0006168908107519388
12884,1448,0.0006160399268750396
13518,1446,0.0006151890429981403
15794,1433,0.0006096582977982955
10732,1433,0.0006096582977982955
12003,1424,0.0006058293203522489
14485,1401,0.0005960441557679078
14153,1394,0.0005930660621987605
14275,1387,0.0005900879686296132
10666,1384,0.0005888116428142643
10154,1382,0.0005879607589373652
12844,1381,0.0005875353169989155
14955,1380,0.000587109875060466
12323,1377,0.0005858335492451171
12990,1376,0.0005854081073066675
15861,1375,0.0005849826653682178
10781,1374,0.0005845572234297683
12391,1362,0.000579451920168373
14102,1360,0.0005786010362914737
15798,1359,0.000578175594353024
12822,1355,0.0005764738265992256
11721,1353,0.0005756229427223263
15709,1346,0.0005726448491531791
11921,1342,0.0005709430813993806
13002,1339,0.0005696667555840318
15356,1338,0.0005692413136455822
15084,1336,0.000568390429768683
11435,1334,0.0005675395458917838
15380,1331,0.000566263220076435
15070,1328,0.000564986894261086
10990,1324,0.0005632851265072876
11988,1311,0.0005577543813074427
10540,1300,0.0005530745199844969
12206,1297,0.000551798194169148
11563,1296,0.0005513727522306985
14130,1295,0.0005509473102922488
16321,1289,0.0005483946586615512
12699,1263,0.0005373331682618612
15306,1254,0.0005335041908158147
12676,1242,0.0005283988875544193
12073,1228,0.0005224427004161248
13461,1226,0.0005215918165392255
10434,1202,0.0005113812100164348
12441,1195,0.0005084031164472875
11648,1187,0.0005049995809396907
13806,1180,0.0005020214873705433
11833,1172,0.0004986179518629465
11481,1171,0.0004981925099244968
10313,1164,0.0004952144163553495
12951,1135,0.00048287660014031074
14717,1133,0.0004820257162634115
11651,1120,0.0004764949710635666
10279,1113,0.00047351687749441925
13029,1104,0.00046968790004837274
14012,1103,0.0004692624581099231
12966,1103,0.0004692624581099231
13196,1100,0.0004679861322945743
15618,1099,0.0004675606903561247
14489,1098,0.0004671352484176751
11445,1089,0.00046330627097162857
12693,1086,0.0004620299451562797
14816,1081,0.0004599027354640316
10917,1079,0.00045905185158713244
11146,1072,0.0004560737580179851
15455,1071,0.0004556483160795355
12214,1059,0.0004505430128181402
13768,1059,0.0004505430128181402
11624,1058,0.00045011757087969057
13165,1034,0.00043990696435689984
11612,1033,0.0004394815224184502
11997,1032,0.0004390560804800006
15295,1030,0.00043820519660310136
