dest,frequency,relative_frequency
HGR,321,2.015384098619462e-05
BKG,302,1.8960934510376246e-05
STC,281,1.764245893184015e-05
PPG,242,1.5193861428844542e-05
OGD,230,1.44404468125382e-05
OWB,209,1.3121971234002104e-05
ADK,207,1.2996402131284381e-05
HYA,172,1.0798942833724219e-05
GST,166,1.042223552557105e-05
DLG,166,1.042223552557105e-05
BFM,158,9.919959114700154e-06
ROP,151,9.480467255188123e-06
AKN,124,7.785284368498856e-06
IFP,45,2.8253048111487784e-06
YNG,2,1.2556910271772347e-07
