month,year,carrier,total_gallons
10,2015,EE,195280
11,2015,EE,238800
12,2015,EE,290480
1,2016,EE,375040
2,2016,EE,391360
3,2016,EE,473920
4,2016,EE,318400
5,2016,EE,308960
6,2016,EE,483920
7,2016,EE,612320
8,2016,EE,554000
9,2016,EE,395680
10,2016,EE,493200
11,2016,EE,501120
12,2016,EE,531360
1,2017,EE,427760
2,2017,EE,439920
3,2017,EE,520480
4,2017,EE,403600
5,2017,EE,239920
6,2017,EE,249760
7,2017,EE,280480
8,2017,EE,263040
9,2017,EE,30960
1,2015,EV,102060
2,2015,EV,86846
3,2015,EV,86925
4,2015,EV,103937
5,2015,EV,92303
6,2015,EV,96355
7,2015,EV,106408
8,2015,EV,93692
9,2015,EV,66005
10,2015,EV,81937
11,2015,EV,79796
12,2015,EV,86229
1,2016,EV,81827
2,2016,EV,76666
3,2016,EV,82715
4,2016,EV,77831
5,2016,EV,85605
6,2016,EV,80305
7,2016,EV,80896
8,2016,EV,82119
9,2016,EV,90640
10,2016,EV,83641
11,2016,EV,85810
12,2016,EV,85946
1,2017,EV,87798
2,2017,EV,81082
3,2017,EV,94607
4,2017,EV,100179
5,2017,EV,104685
6,2017,EV,14037
7,2017,EV,108679
8,2017,EV,4676
9,2017,EV,3367
10,2017,EV,0
11,2017,EV,2639
12,2017,EV,0
1,2018,EV,0
2,2018,EV,0
3,2018,EV,0
4,2018,EV,0
5,2018,EV,0
6,2018,EV,0
7,2018,EV,0
8,2018,EV,0
9,2018,EV,0
10,2018,EV,0
11,2018,EV,0
12,2018,EV,0
1,2019,EV,0
3,2019,EV,0
4,2019,EV,0
5,2019,EV,0
6,2019,EV,0
7,2019,EV,0
8,2019,EV,0
9,2019,EV,0
1,2015,F9,14970324
2,2015,F9,13364124
3,2015,F9,15364973
4,2015,F9,15227014
5,2015,F9,16821545
6,2015,F9,16727512
7,2015,F9,17161435
8,2015,F9,16890270
9,2015,F9,16003377
10,2015,F9,16936487
11,2015,F9,17411106
12,2015,F9,18048961
1,2016,F9,16155531
2,2016,F9,15240623
3,2016,F9,16416821
4,2016,F9,16071313
5,2016,F9,17174618
6,2016,F9,18090996
7,2016,F9,20527999
8,2016,F9,20001579
9,2016,F9,19196296
10,2016,F9,19272192
11,2016,F9,18590427
12,2016,F9,18878199
