fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-04-15,UA,UA_CODESHARE,UA,6063,YV,N86309,6063,10693,BNA,"Nashville, TN",12264,IAD,"Washington, DC",1250,1246,-4,16,1302,1523,7,1535,1530,-5,0,,0,N,105,104,81,1,542,,,,,,,,,
2019-09-13,AA,AA,AA,2203,AA,N959AN,2203,13487,MSP,"Minneapolis, MN",11298,DFW,"Dallas/Fort Worth, TX",1622,1700,38,16,1716,1912,11,1900,1923,23,0,,0,N,158,143,116,1,852,1,0,0,0,22,,,,
2019-03-07,AA,AA_CODESHARE,AA,3376,MQ,N615AE,3376,14730,SDF,"Louisville, KY",13930,ORD,"Chicago, IL",1158,1159,1,27,1226,1225,14,1229,1239,10,0,,0,N,91,100,59,1,286,,,,,,,,,
2018-05-23,AA,AA,AA,829,AA,N758US,829,12892,LAX,"Los Angeles, CA",15016,STL,"St. Louis, MO",959,1233,154,15,1248,1802,2,1549,1804,135,0,,0,N,230,211,194,1,1592,135,0,0,0,0,954.0,17,17,
2018-11-19,UA,UA,UA,1478,UA,N824UA,1478,12953,LGA,"New York, NY",13930,ORD,"Chicago, IL",1300,1256,-4,10,1306,1400,20,1431,1420,-11,0,,0,N,151,144,114,1,733,,,,,,,,,
2019-07-28,DL,DL,DL,2215,DL,N588NW,2215,14747,SEA,"Seattle, WA",12173,HNL,"Honolulu, HI",1735,1735,0,15,1750,2018,7,2035,2025,-10,0,,0,N,360,350,328,1,2677,,,,,,,,,
2019-01-08,F9,F9,F9,1817,F9,N238FR,1817,14635,RSW,"Fort Myers, FL",11433,DTW,"Detroit, MI",600,556,-4,17,613,852,11,900,903,3,0,,0,N,180,187,159,1,1084,,,,,,,,,
2018-01-11,AA,AA,AA,2692,AA,N973AN,2692,11618,EWR,"Newark, NJ",13930,ORD,"Chicago, IL",1049,1046,-3,15,1101,1150,10,1230,1200,-30,0,,0,N,161,134,109,1,719,,,,,,,,,
2019-11-15,UA,UA,UA,2366,UA,N62884,2366,14771,SFO,"San Francisco, CA",12889,LAS,"Las Vegas, NV",2245,2238,-7,21,2259,1,23,21,24,3,0,,0,N,96,106,62,1,414,,,,,,,,,
2018-12-09,DL,DL_CODESHARE,DL,5952,YX,N207JQ,5952,11193,CVG,"Cincinnati, OH",11298,DFW,"Dallas/Fort Worth, TX",1105,1055,-10,15,1110,1215,18,1251,1233,-18,0,,0,N,166,158,125,1,812,,,,,,,,,
2018-09-10,UA,UA,UA,2394,UA,N15710,2394,10721,BOS,"Boston, MA",11618,EWR,"Newark, NJ",1040,1033,-7,27,1100,1203,6,1157,1209,12,0,,0,N,77,96,63,1,200,,,,,,,,,
2018-11-08,AA,AA,AA,2737,AA,N339PL,2737,11298,DFW,"Dallas/Fort Worth, TX",10397,ATL,"Atlanta, GA",710,705,-5,29,734,1036,9,1013,1045,32,0,,0,N,123,160,122,1,731,0,0,32,0,0,,,,
2019-02-02,UA,UA_CODESHARE,UA,5962,OO,N208SY,5962,15041,SUN,"Sun Valley/Hailey/Ketchum, ID",14771,SFO,"San Francisco, CA",1230,,,,,,,1348,,,1,B,0,N,138,,,1,587,,,,,,,,,
